exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap,tgt_gap,protect_after,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_trigger,fetch_status,time,count,row_colour
NSE,NIITLTD,2949633,161.31,123.35,116.6,148.7,116.6,148.7,6.75,25.35,141.65,140,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,NIITMTS,4543233,214.62,403.75,344.9,500,344.9,500,58.85,96.25,421.55,140,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,MASTEK,543745,2191,2381.2,2199,3234,2199,3234,182.2,852.8,2485,23,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,MPHASIS,1152769,2192,2488.1,2397,3444,2397,3444,91.1,955.9,2488,23,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,FINEORG,958465,6363.53,4979.5,4419,7081,4419,7081,560.5,2101.5,5220,10,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,FINEORG,958465,7227.7,4979.5,4419,7081,4419,7081,560.5,2101.5,5220,2,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,TATAELXSI,873217,8605,7285.95,6868.5,7891.1,6868.5,7891.1,417.45,605.15,7490,10,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,INFY,408065,1342.1,1501.75,1357,1617.75,1357,1617.75,144.75,116,1526,46,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,HDFCBANK,341249,1555.35,1553.35,1522,1666,1522,1666,31.35,112.65,1600,38,0,0,0,0,0,Holding,0,success,1695304517,42,#099346
NSE,HDFCBANK,341249,1555.35,1553.35,1522,1666,1522,1666,31.35,112.65,1600,38,0,0,0,0,0,Sold,0,success,1695304517,42,#099346
NSE,HDFCBANK,341249,1555.35,1553.35,1522,1666,1522,1666,31.35,112.65,1600,38,0,0,0,0,0,Buy_BO,1555,success,1695304517,42,#099346
NSE,HDFCBANK,341249,1555.35,1553.35,1522,1666,1522,1666,31.35,112.65,1600,38,0,0,0,0,0,Buy_SR,1520,success,1695304517,42,#099346
